Manifesto;Filial;Data;Veículo;Destino;Serviços;NFs;Kg Real;Kg Taxado;M3;Vale frete;Valor NF;Valor Fretes;Valor Final;% Aprov. Veículo;Km saída;Km chegada;Km final;Classificação;Observações operacionais;Status;Usuário
76944;LSP REIS MATRIZ SJC;01/09/2025;FAT1H80;Guaratinguetá, Queluz, Lorena, Cruzeiro;9;12;1447;1447;0;0;38114;920;920;36;592649;593018;369;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76945;LSP REIS MATRIZ SJC;01/09/2025;FSO4C01;Aparecida, Potim, Guaratinguetá;9;10;2051;2051;0;0;69377;1305;1305;58;390100;390350;250;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76946;LSP REIS MATRIZ SJC;01/09/2025;TBQ6G46;Guarulhos, Guararema;7;9;1213;1213;0;0;51603;771;771;60;6786;6986;200;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76947;LSP REIS MATRIZ SJC;01/09/2025;FUL0B23;Guarulhos;19;19;1357;1357;0;0;38344;863;863;54;622261;622457;196;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76948;LSP REIS MATRIZ SJC;01/09/2025;TBQ6G43;Mogi das Cruzes, Suzano, Itaquaquecetuba;14;15;966;966;0;0;25849;614;614;48;6675;6883;208;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76949;LSP REIS MATRIZ SJC;01/09/2025;FWU8C95;Taubaté, Pindamonhangaba;5;6;1523;1523;0;0;36695;969;969;30;381474;381669;195;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76950;LSP REIS MATRIZ SJC;01/09/2025;GEN6A61;Caçapava, Taubaté, Pindamonhangaba;15;17;1236;1236;0;0;29525;787;787;61;267398;267575;177;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76951;LSP REIS MATRIZ SJC;01/09/2025;FWG7E97;Jacareí, São José dos Campos;20;20;1572;1572;0;0;46092;1000;1000;31;432780;432871;91;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76952;LSP REIS MATRIZ SJC;01/09/2025;FNF2E32;São José dos Campos;12;17;1430;1430;0;0;31849;910;910;57;622700;622768;68;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76953;LSP REIS MATRIZ SJC;01/09/2025;EFT3I02;São José dos Campos;15;17;1588;1588;0;0;47246;1010;1010;45;400846;400987;141;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76954;LSP REIS MATRIZ SJC;01/09/2025;FFG5F13;Jacareí;11;12;1585;1585;0;0;37261;1008;1008;63;710613;710707;94;Marfrig ( BRF );;Finalizado;Gustavo Henrique Vitoriano dos Santos
76955;LSP REIS MATRIZ SJC;01/09/2025;SVU6A45;Caçapava, Monteiro Lobato;5;5;1105;1105;0;554;26964;740;740;73;43247;43369;122;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76956;LSP REIS MATRIZ SJC;01/09/2025;ETU9H27;São José dos Campos, Caçapava;18;18;2879;2879;0;1000;60785;1928;1928;71;489932;490057;125;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76957;LSP REIS MATRIZ SJC;01/09/2025;GEH3I45;Mogi das Cruzes;10;10;903;903;0;681;27939;605;605;56;344104;344272;168;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76958;LSP REIS MATRIZ SJC;01/09/2025;FTG2J18;São José dos Campos;16;16;1770;1770;0;756;42608;1186;1186;354;222077;222148;71;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76959;LSP REIS MATRIZ SJC;01/09/2025;ETU8G66;Jacareí, São José dos Campos;19;19;2614;2614;0;1016;58508;1751;1751;65;541151;541284;133;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76960;LSP REIS MATRIZ SJC;01/09/2025;FVC8855;Jacareí, Guararema, Santa Isabel;8;8;956;956;0;624;31656;640;640;59;650276;650396;120;Friboi;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76961;LSP REIS MATRIZ SJC;01/09/2025;CVN9I53;Bragança Paulista, Vargem, Atibaia;3;8;2069;2069;0;1080;29724;1551;1551;82;656404;656771;367;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76962;LSP REIS MATRIZ SJC;01/09/2025;DRJ8010;São Vicente, Santos, Guarujá;3;4;2023;2023;0;1065;47817;1416;1416;91;540400;540777;377;FRZ Log;;Finalizado;Gustavo Henrique Vitoriano dos Santos
76963;LSP REIS MATRIZ SJC;01/09/2025;EGD6F32;São José dos Campos;2;6;867;867;0;489;16056;705;1246;54;650527;650590;63;FRZ Log;EMBARCADO AS NFS: 254801 254803 254829 254833 254783 254789 254807 254811;Finalizado;Gustavo Henrique Vitoriano dos Santos
