Coluna_1;Coluna_2;Coluna_3;Coluna_4;Coluna_5;Coluna_6;Coluna_7;Coluna_8;Coluna_9;Coluna_10;Coluna_11;Coluna_12;Coluna_13;VALOR CERTO;VALOR_CALCULADO;VALOR_ORIGINAL;STATUS
=== RESUMO ===;Total Geral: 64616;Linhas processadas: 192;Total linhas: 192

Frete;55101/;29/08/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SUPERMERCADOS EVOLUCAO LTDA;Sumaré;10;233;233;5278;106;;177;177;177;OK
Frete;55108/;29/08/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;RESTAURANTE VO AURORA LTDA;Nova Odessa;6;136;136;3094;62;;104;104;104;OK
Frete;55110/;29/08/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;OFELIA SARRI MORETE;Sumaré;40;1069;1069;34487;486;;814;814;814;OK
Frete;55098/;29/08/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CHEFS PUB BAR E RESTAURANTE LTDA 487520;Ferraz de Vasconcelos;14;209;209;11872;95;;159;159;159;OK
Frete;55112/;29/08/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PICANHA NOBRE CASA DE CARNES E MINIMERCADO LTDA 243786;Guarulhos;4;97;97;5157;44;;73;73;73;OK
Frete;55115/;29/08/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;JOSE OVERLANDO CORDEIRO DE SOUZA LTDA 455790;Guarulhos;4;57;57;3783;26;;43;43;43;OK
Frete;55117/;29/08/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;LOURISVALDO R DA COSTA BAR E RESTAURANTE 423540;Arujá;3;68;68;1341;31;;52;52;52;OK
Frete;55163/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;ELIANA MOTA DE ARAUJO OURIVES;Aparecida;1;22;22;638;10;;16;16;16;OK
Frete;55162/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MARGE HOTEL LTDA 437329;Aparecida;5;131;131;3866;60;;100;100;100;OK
Frete;55201/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;48 - PLT COMERCIO DE ALIMENTOS LTDA;Aparecida;6;135;135;2869;61;;103;103;103;OK
Frete;55187/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;P H DE OLIVEIRA TOM EIRELI;Aparecida;45;1211;1211;36741;550;;922;922;922;OK
Frete;54832/;26/08/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PUMBA FOODS LTDA;São Carlos;12;323;323;8122;146;;245;245;245;OK
Frete;54750/;25/08/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SHOPPING DA CARNE LTDA;São Carlos;4;110;110;2999;50;;84;84;84;OK
Frete;54642/;21/08/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PUMBA FOODS LTDA;São Carlos;7;175;175;5988;79;;133;133;133;OK
Frete;55170/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;JCCM MINIMERCADO LTDA;Caçapava;3;70;70;1892;31;;53;53;53;OK
Frete;55182/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;R ALESSIO ESTEVES - MINIMERCADO;Cruzeiro;4;103;103;3004;47;;78;78;78;OK
Frete;55157/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;JOANILSON ARAUJO DA FONSECA 390008;Hortolândia;29;784;784;35885;356;;597;597;597;OK
Frete;55186/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;RESTAURANTE VO AURORA LTDA;Nova Odessa;9;209;209;4959;95;;159;159;159;OK
Frete;55175/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;UBA SUPERMERCADO LTDA 459619;Ubatuba;25;626;626;18963;284;;476;476;476;OK
Frete;55197/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;IVONE PEREIRA COSTA ME;Caraguatatuba;3;67;67;2031;30;;51;51;51;OK
Frete;55189/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;ZORAIDE DANTAS RODRIGUES;Caraguatatuba;1;22;22;480;10;;17;17;17;OK
